Month,Price,Change
10-Sep,95.75,-
10-Oct,100.01,4.45%
10-Nov,102.59,2.58%
10-Dec,109.67,6.90%
11-Jan,116.7,6.41%
11-Feb,124.18,6.41%
11-Mar,136.25,9.72%
11-Apr,141.41,3.79%
11-May,130.89,-7.44%
11-Jun,132.42,1.17%
11-Jul,135.57,2.38%
11-Aug,127.69,-5.82%
11-Sep,128.44,0.59%
11-Oct,130.71,1.77%
11-Nov,133.89,2.43%
11-Dec,128.22,-4.23%
12-Jan,134.27,4.71%
12-Feb,137.5,2.41%
12-Mar,141.5,2.91%
12-Apr,138.43,-2.17%
12-May,127.83,-7.66%
12-Jun,115.92,-9.31%
12-Jul,122.42,5.61%
12-Aug,133.66,9.18%
12-Sep,134.73,0.80%
12-Oct,134.21,-0.39%
12-Nov,130.81,-2.53%
12-Dec,125.89,-3.76%
13-Jan,126.41,0.41%
13-Feb,131.66,4.15%
13-Mar,123.64,-6.09%
13-Apr,119.31,-3.50%
13-May,119.22,-0.07%
13-Jun,123.89,3.91%
13-Jul,130.83,5.61%
13-Aug,134.57,2.86%
13-Sep,133.56,-0.75%
13-Oct,129.34,-3.16%
13-Nov,127.94,-1.08%
13-Dec,134.31,4.97%
14-Jan,139.98,4.22%
14-Feb,144.94,3.54%
14-Mar,134.07,-7.50%
14-Apr,132.05,-1.51%
14-May,129,-2.31%
14-Jun,129.8,0.62%
14-Jul,125.12,-3.61%
14-Aug,124.74,-0.30%
14-Sep,120.82,-3.14%
14-Oct,113.43,-6.12%
14-Nov,109.24,-3.70%
14-Dec,90.89,-16.79%
15-Jan,74.85,-17.66%
15-Feb,88.04,17.63%
15-Mar,82.49,-6.30%
15-Apr,81.86,-0.77%
15-May,87.67,7.10%
15-Jun,84.93,-3.13%
15-Jul,76.23,-10.24%
15-Aug,69.95,-8.24%
15-Sep,70.86,1.30%
15-Oct,68.27,-3.65%
15-Nov,66.42,-2.71%
15-Dec,53.75,-19.08%
16-Jan,46.5,-13.48%
16-Feb,49.35,6.13%
16-Mar,55.64,12.73%
16-Apr,57.72,3.74%
16-May,66.64,15.45%
16-Jun,69.24,3.90%
16-Jul,64.48,-6.88%
16-Aug,65.32,1.31%
16-Sep,67.25,2.96%
16-Oct,75.38,12.08%
16-Nov,71.84,-4.69%
16-Dec,81.79,13.85%
17-Jan,80.69,-1.35%
17-Feb,81.11,0.52%
17-Mar,76.82,-5.28%
17-Apr,79.07,2.92%
17-May,75.49,-4.52%
17-Jun,70.59,-6.49%
17-Jul,77.05,9.15%
17-Aug,82.95,7.66%
17-Sep,91.34,10.11%
17-Oct,92.38,1.13%
17-Nov,97.88,5.96%
17-Dec,97.97,0.09%
18-Jan,104.68,6.85%
18-Feb,100.29,-4.20%
18-Mar,100.49,0.20%
18-Apr,108.31,7.79%
18-May,116.35,7.42%
18-Jun,113.84,-2.16%
18-Jul,114.35,0.44%
18-Aug,114.7,0.31%
18-Sep,121.53,5.96%
18-Oct,125.92,3.61%
18-Nov,108.25,-14.03%
18-Dec,95.06,-12.18%
19-Jan,96.86,1.89%
19-Feb,102.36,5.68%
19-Mar,104.2,1.80%
19-Apr,107.46,3.13%
19-May,106.13,-1.23%
19-Jun,95.63,-9.90%
19-Jul,98.21,2.70%
19-Aug,94.95,-3.32%
19-Sep,101.08,6.46%
19-Oct,99.8,-1.26%
19-Nov,98.03,-1.77%
19-Dec,100.92,2.94%
20-Jan,94.35,-6.51%
20-Feb,82.33,-12.74%
20-Mar,60.58,-26.42%
20-Apr,44.65,-26.30%
20-May,44.84,0.44%
20-Jun,56.31,25.57%
20-Jul,61.31,8.88%
20-Aug,59.88,-2.33%
20-Sep,54.42,-9.13%
20-Oct,55.95,2.81%
20-Nov,59.9,7.07%
20-Dec,69.41,15.87%
21-Jan,75.7,9.06%
21-Feb,86.21,13.89%
21-Mar,90.01,4.41%
21-Apr,90.19,0.20%
21-May,97.04,7.60%
21-Jun,102.07,5.18%
21-Jul,106.41,4.25%
21-Aug,103.83,-2.42%
21-Sep,110.5,6.42%
21-Oct,128.07,15.91%
21-Nov,120.34,-6.04%
21-Dec,113.04,-6.07%
22-Jan,134.05,18.59%
22-Feb,147.28,9.87%
22-Mar,196.84,33.65%
22-Apr,210.09,6.73%
22-May,243.28,15.80%
22-Jun,233.79,-3.90%
22-Jul,206.7,-11.59%
22-Aug,200.48,-3.01%
22-Sep,197.59,-1.44%
22-Oct,255.55,29.33%
22-Nov,234.46,-8.25%
22-Dec,173.62,-25.95%
23-Jan,179.73,3.52%
23-Feb,155.07,-13.72%
23-Mar,150.57,-2.90%
23-Apr,143.43,-4.74%
23-May,130.73,-8.86%
23-Jun,135.91,3.97%
23-Jul,146.59,7.86%
23-Aug,175.05,19.42%
23-Sep,188.83,7.87%
23-Oct,176.87,-6.34%
23-Nov,162.24,-8.27%
23-Dec,146.29,-9.84%
24-Jan,150.06,2.58%
24-Feb,155.37,3.54%
24-Mar,149.34,-3.88%
24-Apr,149.28,-0.04%
24-May,140.31,-6.01%
24-Jun,142.42,1.50%
24-Jul,144.58,1.52%
24-Aug,130.47,-9.75%
24-Sep,118.29,-9.34%
24-Oct,126.84,7.23%
24-Nov,130.64,3.00%
24-Dec,128.75,-1.45%
25-Jan,145.02,12.64%
25-Feb,143.61,-0.98%
25-Mar,128.98,-10.19%
25-Apr,121.15,-6.06%
25-May,115.82,-4.40%
25-Jun,128.49,10.94%
