Date,MaxConsecutiveDryDays,DaysMaxTempAbove35C,DaysRainAbove50mm
2000-01-01,4.83,0.0,0.37
2000-02-01,3.01,0.0,0.52
2000-03-01,2.89,0.0,0.34
2000-04-01,2.37,0.1,0.05
2000-05-01,2.23,0.09,0.32
2000-06-01,0.63,0.06,0.03
2000-07-01,2.09,0.01,0.84
2000-08-01,1.91,0.01,0.33
2000-09-01,2.3,0.01,0.23
2000-10-01,1.53,0.0,0.65
2000-11-01,2.0,0.0,0.64
2000-12-01,2.18,0.0,0.86
2001-01-01,4.45,0.0,0.06
2001-02-01,4.53,0.0,0.6
2001-03-01,3.59,0.01,0.12
2001-04-01,3.64,0.13,0.01
2001-05-01,2.38,0.25,0.23
2001-06-01,1.39,0.19,0.26
2001-07-01,1.33,0.01,0.59
2001-08-01,1.71,0.0,0.41
2001-09-01,1.67,0.06,0.24
2001-10-01,2.75,0.04,0.2
2001-11-01,4.77,0.01,0.63
2001-12-01,6.32,0.0,0.39
2002-01-01,7.46,0.04,0.12
2002-02-01,7.63,0.04,0.14
2002-03-01,8.53,0.16,0.06
2002-04-01,8.37,0.56,0.02
2002-05-01,5.51,0.92,0.09
2002-06-01,1.46,0.52,0.1
2002-07-01,3.99,0.21,1.16
2002-08-01,1.99,0.07,0.52
2002-09-01,1.34,0.03,0.21
2002-10-01,1.88,0.03,0.04
2002-11-01,3.36,0.05,0.29
2002-12-01,6.62,0.08,0.01
2003-01-01,6.46,0.03,0.06
2003-02-01,9.45,0.05,0.05
2003-03-01,10.25,0.23,0.01
2003-04-01,9.21,1.35,0.11
2003-05-01,4.59,0.83,0.81
2003-06-01,6.59,0.06,0.34
2003-07-01,1.27,0.12,0.69
2003-08-01,1.94,0.02,0.35
2003-09-01,1.17,0.01,0.11
2003-10-01,2.95,0.02,0.1
2003-11-01,4.03,0.08,0.26
2003-12-01,6.94,0.01,0.78
2004-01-01,7.1,0.03,0.02
2004-02-01,7.28,0.04,0.1
