Date,Precipitation_mm,DaysRainAbove50mm,AvgMeanTemp_C
2000-01-01,155.18,0.37,24.45
2000-02-01,263.92,0.52,24.63
2000-03-01,236.81,0.34,25.3
2000-04-01,172.69,0.05,26.31
2000-05-01,270.46,0.32,26.4
2000-06-01,288.38,0.03,26.14
2000-07-01,341.85,0.84,25.67
2000-08-01,280.76,0.33,25.84
2000-09-01,218.88,0.23,25.9
2000-10-01,377.51,0.65,25.58
2000-11-01,254.53,0.64,25.4
2000-12-01,275.76,0.86,25.05
2001-01-01,137.87,0.06,24.75
2001-02-01,194.48,0.6,24.98
2001-03-01,185.8,0.12,25.47
2001-04-01,106.86,0.01,26.69
2001-05-01,242.86,0.23,26.69
2001-06-01,276.6,0.26,26.33
2001-07-01,321.66,0.59,25.91
2001-08-01,353.79,0.41,25.97
2001-09-01,227.73,0.24,26.29
2001-10-01,218.75,0.2,26.04
2001-11-01,260.96,0.63,25.31
2001-12-01,195.86,0.39,24.53
2002-01-01,100.61,0.12,24.34
2002-02-01,105.7,0.14,24.43
2002-03-01,93.7,0.06,25.46
2002-04-01,74.61,0.02,26.58
2002-05-01,200.53,0.09,26.99
2002-06-01,246.83,0.1,26.7
2002-07-01,321.23,1.16,26.34
2002-08-01,318.33,0.52,26.05
2002-09-01,285.64,0.21,25.89
2002-10-01,194.27,0.04,26.25
2002-11-01,179.99,0.29,25.79
2002-12-01,100.13,0.01,25.49
2003-01-01,121.24,0.06,24.39
2003-02-01,72.51,0.05,24.6
2003-03-01,104.33,0.01,25.5
2003-04-01,70.4,0.11,27.1
2003-05-01,287.73,0.81,26.88
2003-06-01,230.78,0.34,26.34
2003-07-01,320.81,0.69,26.25
2003-08-01,321.47,0.35,26.22
2003-09-01,274.67,0.11,25.94
2003-10-01,214.81,0.1,25.83
2003-11-01,147.96,0.26,25.95
2003-12-01,235.09,0.78,24.23
2004-01-01,85.34,0.02,24.66
2004-02-01,130.21,0.1,24.82
2004-03-01,110.92,0.11,25.87
2004-04-01,72.49,0.01,26.96
2004-05-01,257.27,0.52,26.8
2004-06-01,314.93,0.52,26.18
2004-07-01,305.52,0.12,26.04
2004-08-01,277.76,0.44,26.17
2004-09-01,201.12,0.08,26.18
2004-10-01,175.95,0.21,25.52
2004-11-01,189.6,0.71,25.69
2004-12-01,159.88,0.4,25.06
2005-01-01,89.4,0.07,24.23
2005-02-01,38.87,0.01,25.1
2005-03-01,105.88,0.1,25.55
2005-04-01,55.58,0.0,26.61
2005-05-01,216.33,0.13,27.21
2005-06-01,286.35,0.26,26.77
2005-07-01,288.36,0.33,26.48
2005-08-01,286.01,0.31,26.26
2005-09-01,303.52,0.57,26.13
2005-10-01,255.12,0.18,26.13
2005-11-01,201.42,0.26,25.92
2005-12-01,420.4,1.5,24.82
2006-01-01,165.04,0.35,24.99
2006-02-01,150.14,0.16,25.17
2006-03-01,171.1,0.41,25.81
2006-04-01,78.11,0.01,26.91
2006-05-01,239.64,0.36,26.93
2006-06-01,277.9,0.18,26.71
2006-07-01,300.34,0.53,26.34
2006-08-01,309.78,0.44,26.14
2006-09-01,322.66,0.45,26.14
2006-10-01,235.08,0.29,25.87
2006-11-01,159.82,0.39,26.16
2006-12-01,237.88,0.75,25.5
2007-01-01,182.6,0.2,24.87
2007-02-01,87.97,0.06,25.08
2007-03-01,90.76,0.07,25.87
2007-04-01,93.29,0.0,26.99
2007-05-01,218.32,0.07,27.08
2007-06-01,271.99,0.16,26.99
2007-07-01,265.69,0.25,26.63
2007-08-01,311.43,0.48,26.21
2007-09-01,327.42,0.54,26.27
2007-10-01,252.46,0.22,25.99
2007-11-01,335.26,1.02,25.31
2007-12-01,199.64,0.28,25.24
2008-01-01,207.95,0.34,24.9
2008-02-01,296.72,0.99,24.57
2008-03-01,171.16,0.14,25.46
2008-04-01,178.76,0.23,26.48
2008-05-01,333.81,0.6,26.23
2008-06-01,272.36,0.48,26.42
2008-07-01,305.88,0.44,26.18
2008-08-01,295.38,0.62,26.06
2008-09-01,295.18,0.38,26.17
2008-10-01,247.69,0.16,26.22
2008-11-01,264.99,0.44,25.79
2008-12-01,231.7,0.48,25.02
2009-01-01,281.09,0.9,24.32
2009-02-01,188.4,0.42,25.24
2009-03-01,123.83,0.06,26.09
2009-04-01,300.72,0.55,26.41
2009-05-01,283.0,0.43,26.43
2009-06-01,273.08,0.3,26.45
2009-07-01,383.55,0.86,26.22
2009-08-01,223.01,0.27,26.8
2009-09-01,348.2,1.11,26.33
2009-10-01,289.36,1.06,26.05
2009-11-01,201.98,0.62,25.77
2009-12-01,84.94,0.01,24.84
2010-01-01,162.29,0.25,24.62
2010-02-01,41.59,0.04,25.47
2010-03-01,78.43,0.09,26.22
2010-04-01,97.07,0.07,27.14
2010-05-01,129.06,0.05,27.85
2010-06-01,291.85,0.14,27.25
2010-07-01,359.45,0.37,26.54
2010-08-01,316.76,0.17,26.42
2010-09-01,267.17,0.18,26.51
2010-10-01,319.79,0.4,26.1
2010-11-01,257.31,0.37,25.8
2010-12-01,230.1,0.26,25.27
2011-01-01,305.76,0.84,24.4
2011-02-01,206.99,0.5,24.67
2011-03-01,259.68,0.29,25.14
2011-04-01,146.63,0.14,25.86
2011-05-01,324.7,0.62,26.61
2011-06-01,360.5,0.88,26.46
2011-07-01,325.29,0.68,26.21
2011-08-01,305.96,0.3,26.19
2011-09-01,340.57,0.74,26.27
2011-10-01,283.12,0.62,26.12
2011-11-01,246.11,0.29,25.93
2011-12-01,307.9,0.79,25.37
2012-01-01,164.47,0.09,25.09
2012-02-01,249.69,0.47,25.16
2012-03-01,221.0,0.45,25.68
2012-04-01,132.75,0.02,26.66
2012-05-01,283.09,0.09,26.89
2012-06-01,262.2,0.17,26.61
2012-07-01,413.27,0.84,26.05
2012-08-01,287.7,0.55,26.33
2012-09-01,328.78,0.44,26.04
2012-10-01,239.75,0.44,25.79
2012-11-01,143.8,0.13,26.04
