month,region,commodity_name,price_1,price_2,_merge,pct_diff,price
2018-01-01,ARMM,CABBAGE,53.92,81.94200000000001,both,41.25068083790905,
2018-01-01,ARMM,GARLIC,128.0,104.99333333333334,both,19.748776789035446,
2018-01-01,CAR,CABBAGE,54.08,42.87625,both,23.110939212273575,
2018-01-01,CAR,GARLIC,285.38,134.31142857142856,both,71.99030580290282,
2018-01-01,NCR,CABBAGE,53.08,60.69,both,13.37786762766986,
2018-01-01,NCR,GARLIC,292.81,185.32,both,44.96266705707653,
2018-01-01,REGION I,CABBAGE,79.19,43.682,both,57.79673155804414,
2018-01-01,REGION II,CABBAGE,24.31,57.19199999999999,both,80.69004441608794,
2018-01-01,REGION II,GARLIC,168.0,99.454,both,51.258160281768085,
2018-01-01,REGION III,CABBAGE,39.0,71.19,both,58.426354478627815,
2018-01-01,REGION IV-A,CABBAGE,56.11,59.681999999999995,both,6.169683570540271,
2018-01-01,REGION IV-A,GARLIC,96.0,197.472,both,69.15276414785738,
2018-01-01,REGION IV-B,CABBAGE,80.77,101.64285714285714,both,22.885291606951263,
2018-01-01,REGION IX,CABBAGE,74.31,79.22,both,6.396144076076332,
2018-01-01,REGION V,CABBAGE,63.11,92.50166666666667,both,37.77565949425386,
2018-01-01,REGION VI,CABBAGE,84.92,110.64666666666666,both,26.309868757456954,
2018-01-01,REGION VI,GARLIC,300.0,127.66444444444444,both,80.59381966131288,
2018-01-01,REGION VII,CABBAGE,63.12,74.04375,both,15.928042212319227,
2018-01-01,REGION VIII,CABBAGE,75.69,96.60875,both,24.281952132560455,
2018-01-01,REGION X,CABBAGE,55.01,61.0525,both,10.412493268712984,
2018-01-01,REGION XI,CABBAGE,40.23,77.668,both,63.509135015012994,
2018-01-01,REGION XII,CABBAGE,57.0,62.40571428571429,both,9.054364471669226,
2018-01-01,REGION XIII,CABBAGE,74.91,87.85166666666667,both,15.902597868048387,
2018-02-01,ARMM,CABBAGE,45.08,83.826,both,60.115122647510574,
2018-02-01,ARMM,GARLIC,117.0,105.24833333333333,both,10.575257407254647,
2018-02-01,CAR,CABBAGE,48.5,43.0175,both,11.981315049034341,
2018-02-01,CAR,GARLIC,270.0,132.6142857142857,both,68.24681545612604,
2018-02-01,NCR,CABBAGE,55.9,63.19,both,12.242841548408764,
2018-02-01,NCR,GARLIC,286.62,184.905,both,43.14299347860665,
2018-02-01,REGION I,CABBAGE,55.57,39.102,both,34.78958931891162,
2018-02-01,REGION II,CABBAGE,24.15,47.47,both,65.12147444847808,
2018-02-01,REGION II,GARLIC,154.5,99.572,both,43.23813722094524,
2018-02-01,REGION III,CABBAGE,44.5,68.2925,both,42.18808874703549,
2018-02-01,REGION IV-B,CABBAGE,68.58,86.99142857142856,both,23.669421487603294,
2018-02-01,REGION IX,GARLIC,184.44,120.23,both,42.15052351724816,
2018-02-01,REGION V,CABBAGE,66.75,86.50666666666666,both,25.782456445614105,
2018-02-01,REGION VI,CABBAGE,82.33,94.66000000000001,both,13.932990564438683,
2018-02-01,REGION VII,CABBAGE,47.88,74.44624999999999,both,43.4350762816648,
